t,lb,ts,s,userId,rc,shop,search__phrase,productId
976,SU01-HomePage-Page,1330418007548,true,PT1022809331,200,FAB,bac plastique,
428,SU01-HomePage-Page,1330418008099,true,PT3022809331,200,KIE,149b008ns,
456,SU01-HomePage-Page,1330418008377,true,PT4022809331,200,MAF,gants,
2303,SU01-HomePage-Page,1330418007828,true,PT2022809331,200,KEY,heaters,
440,SU11-SearchPhrase-Page,1330418010501,true,PT3022809331,200,KIE,149b008ns,
1516,SU11-SearchPhrase-Page,1330418009460,true,PT4022809331,200,MAF,gants,8519304225180884145
1184,SU11-SearchPhrase-Page,1330418010792,true,PT1022809331,200,FAB,bac plastique,8563771665917872437
1395,SU11-SearchPhrase-Page,1330418012244,true,PT2022809331,200,KEY,heaters,8660117787514683199
2168,SU12b-PickProduct-Page,1330418012214,true,PT3022809331,200,KIE,149b008ns,
